10/7/2016,73
10/8/2016,80.5
10/9/2016,82
10/10/2016,55.5
10/11/2016,48
10/12/2016,31.5
10/13/2016,60
10/14/2016,54.5
10/15/2016,55
10/16/2016,61
10/17/2016,72
10/18/2016,74
10/19/2016,75
10/20/2016,66
10/21/2016,63
10/22/2016,52
10/23/2016,53
10/24/2016,54.5
10/25/2016,47.5
10/26/2016,44.5
10/27/2016,47.5
10/28/2016,46.5
10/29/2016,51.5
10/30/2016,65
10/31/2016,49
11/1/2016,33
11/2/2016,24.5
11/3/2016,58
11/4/2016,54
11/5/2016,63
11/6/2016,73.5
11/7/2016,73
11/8/2016,82.5
11/9/2016,75
11/10/2016,54.5
11/11/2016,52
11/12/2016,31.5
11/13/2016,51
11/14/2016,54
11/15/2016,51.5
11/16/2016,53
11/17/2016,55
11/18/2016,54
11/19/2016,50
11/20/2016,38
11/21/2016,38.5
11/22/2016,39
11/23/2016,40
11/24/2016,43
11/25/2016,49.5
11/26/2016,45
11/27/2016,44.5
11/28/2016,45
11/29/2016,55.5
11/30/2016,54
12/1/2016,34.5
12/2/2016,21
12/3/2016,49.5
12/4/2016,52
12/5/2016,68
12/6/2016,72.5
12/7/2016,75
12/8/2016,83
12/9/2016,70
12/10/2016,59.5
12/11/2016,43.5
12/12/2016,40
12/13/2016,39
12/14/2016,38
12/15/2016,26.5
12/16/2016,22
12/17/2016,31.5
12/18/2016,44.5
12/19/2016,27
12/20/2016,26.5
12/21/2016,35
12/22/2016,43
12/23/2016,42.5
12/24/2016,42.5
12/25/2016,43
12/26/2016,41.5
12/27/2016,50
12/28/2016,37
12/29/2016,39.5
12/30/2016,36.5
12/31/2016,37.5
